model,dataset,pearson,rmse,mae,qwk
sbert_finetune,mohler,0.6513106898794278,0.836001928141096,0.6011570855965929,0.5509451209558944
sbert_finetune,scientsbank,0.6732511032486744,0.908644445397471,0.7110777786785193,0.6011552575821411
sbert_finetune,beetle,0.7603784090123604,0.7122072550530045,0.5341556044779158,0.725693528664253
pythia_finetune,mohler,0.5408425204610859,0.9239210481037916,0.7248840387935085,0.3868557542345218
pythia_finetune,scientsbank,0.5831520595126913,1.004082823455639,0.8511362223649751,0.43707351592568255
pythia_finetune,beetle,0.7059861972293618,0.775903556589073,0.6201326555865191,0.6423074885043598
t5_finetune,mohler,0.6284128461689236,0.8604841333121802,0.6414642681347017,0.5311133652803526
t5_finetune,scientsbank,0.7130964063723201,0.859315182228824,0.6370119295635273,0.6644899028142311
t5_finetune,beetle,0.7545343304913356,0.7209704391184324,0.5363565013322039,0.7115363092226903
