dataset,model,pearson,rmse,mae,qwk
mohler,pythia,0.2543992631213416,1.3815167988964914,0.8339051116368591,0.0
mohler,sbert,0.49212198976309496,0.9936554030012795,0.8111451268196106,0.35750271943716627
mohler,t5,0.15346450610542792,1.27298438312993,0.8183289170265198,0.003469886592331717
scientsbank,pythia,0.2779061819920282,1.8015908617568728,1.3236034327401685,0.0
scientsbank,sbert,0.3918097545131937,1.176959135316834,1.0385322570800781,0.21416473313576478
scientsbank,t5,0.16491638443685638,1.7027570694533152,1.2860227823257446,0.0007908505939959731
beetle,pythia,0.4526548223013499,1.494700092136453,1.0144758300246224,0.0
beetle,sbert,0.5007206303305157,0.9593972368179492,0.7792184948921204,0.3837110646508355
beetle,t5,0.40945062047543523,1.3828719821356676,0.9674605131149292,0.02094365591449776
